fecha,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
"2018-01-01 00:00:00","CARTAGENA","MURCIA","17","14.1","0","10.8","2018-01-01 08:00:00","17.4","2018-01-01 00:10:00","19","1.7","9.7","2018-01-01 15:10:00"
"2018-01-01 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.8","0","8.2","2018-01-01 22:06:00","19.3","2018-01-01 11:51:00","32","4.7","12.8","2018-01-01 00:22:00"
"2018-01-02 00:00:00","CARTAGENA","MURCIA","17","14.3","0","10.2","2018-01-02 08:00:00","18.4","2018-01-02 12:20:00","18","1.1","4.7","2018-01-02 14:50:00"
"2018-01-02 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","15.4","0","8","2018-01-02 02:58:00","22.7","2018-01-02 14:28:00","30","4.7","11.7","2018-01-02 23:45:00"
"2018-01-03 00:00:00","CARTAGENA","MURCIA","17","16","0","11.7","2018-01-03 05:00:00","20.3","2018-01-03 15:10:00","16","0.8","6.4","2018-01-03 16:00:00"
"2018-01-03 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","19.4","0","13.7","2018-01-03 02:44:00","25.1","2018-01-03 13:47:00","32","3.9","13.9","2018-01-03 23:57:00"
"2018-01-04 00:00:00","CARTAGENA","MURCIA","17","14.6","0","11.3","2018-01-04 08:00:00","17.9","2018-01-04 13:40:00","17","0.6","8.6","2018-01-04 14:10:00"
"2018-01-04 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","17.1","0","10.7","2018-01-04 23:55:00","23.5","2018-01-04 14:33:00","29","2.8","13.9","2018-01-04 00:00:00"
"2018-01-05 00:00:00","CARTAGENA","MURCIA","17","13","0","8.9","2018-01-05 08:00:00","17.2","2018-01-05 11:00:00","20","1.1","5","2018-01-05 14:30:00"
"2018-01-05 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.4","0","7.1","2018-01-05 06:54:00","19.7","2018-01-05 11:42:00","16","2.2","6.7","2018-01-05 15:24:00"
"2018-01-06 00:00:00","CARTAGENA","MURCIA","17","11.6","0","7.6","2018-01-06 05:50:00","15.5","2018-01-06 13:50:00","26","2.2","13.1","2018-01-06 14:30:00"
"2018-01-06 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","11","0","5.7","2018-01-06 00:00:00","16.3","2018-01-06 13:46:00","99","3.1","13.9","2018-01-06 00:00:00"
"2018-01-07 00:00:00","CARTAGENA","MURCIA","17","9.8","0","5.7","2018-01-07 08:10:00","13.8","2018-01-07 12:20:00","22","1.7","9.4","2018-01-07 19:30:00"
"2018-01-07 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","7.8","0","1.5","2018-01-07 07:33:00","14.2","2018-01-07 14:35:00","20","2.8","8.9","2018-01-07 15:48:00"
"2018-01-08 00:00:00","CARTAGENA","MURCIA","17","9.4","0","5.6","2018-01-08 05:40:00","13.2","2018-01-08 14:00:00","24","1.7","7.5","2018-01-08 00:10:00"
"2018-01-08 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","8.2","0","1.7","2018-01-08 07:27:00","14.8","2018-01-08 14:22:00","99","1.1","8.3","2018-01-08 15:02:00"
"2018-01-09 00:00:00","CARTAGENA","MURCIA","17","9.1","2.4","4.4","2018-01-09 07:40:00","13.8","2018-01-09 11:10:00","18","2.2","8.1","2018-01-09 19:10:00"
"2018-01-09 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","8.4","4.5","1","2018-01-09 06:14:00","15.7","2018-01-09 12:40:00","20","2.5","8.3","2018-01-09 13:46:00"
"2018-01-10 00:00:00","CARTAGENA","MURCIA","17","13.6","0","9.9","2018-01-10 05:30:00","17.4","2018-01-10 16:30:00","23","1.4","9.7","2018-01-10 21:10:00"
"2018-01-11 00:00:00","CARTAGENA","MURCIA","17","12.8","0","8.6","2018-01-11 07:00:00","16.9","2018-01-11 12:30:00","30","1.1","9.7","2018-01-11 14:00:00"
"2018-01-11 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","12.7","0.3","8.3","2018-01-11 23:03:00","17.1","2018-01-11 12:56:00","31","4.7","21.7","2018-01-11 13:50:00"
"2018-01-12 00:00:00","CARTAGENA","MURCIA","17","11.8","0","7.4","2018-01-12 05:30:00","16.3","2018-01-12 14:20:00","22","1.7","8.9","2018-01-12 19:10:00"
"2018-01-12 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","11.2","0","4.9","2018-01-12 04:37:00","17.4","2018-01-12 14:41:00","99","3.9","9.7","2018-01-12 00:00:00"
"2018-01-13 00:00:00","CARTAGENA","MURCIA","17","10","0","6.1","2018-01-13 07:00:00","14","2018-01-13 13:00:00","20","1.4","6.7","2018-01-13 16:20:00"
"2018-01-13 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","8.5","0","2.7","2018-01-13 04:58:00","14.3","2018-01-13 12:41:00","99","0.8","5.8","2018-01-13 00:00:00"
"2018-01-14 00:00:00","CARTAGENA","MURCIA","17","11","8.1","7","2018-01-14 08:00:00","15","2018-01-14 11:50:00","26","1.4","6.9","2018-01-14 01:40:00"
"2018-01-14 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","9.6","3.1","3.3","2018-01-14 04:58:00","16","2018-01-14 13:14:00","19","1.4","6.7","2018-01-14 19:01:00"
"2018-01-15 00:00:00","CARTAGENA","MURCIA","17","11.6","0","8.4","2018-01-15 04:10:00","14.8","2018-01-15 15:50:00","34","1.7","6.4","2018-01-15 09:40:00"
"2018-01-15 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","10","2.3","5.5","2018-01-15 22:30:00","14.4","2018-01-15 14:29:00","33","3.6","10.8","2018-01-15 07:04:00"
"2018-01-16 00:00:00","CARTAGENA","MURCIA","17","11.1","0","6.9","2018-01-16 06:40:00","15.3","2018-01-16 14:50:00","99","2.2","8.9","2018-01-16 00:00:00"
"2018-01-16 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","11","0","4.8","2018-01-16 06:21:00","17.3","2018-01-16 12:13:00","21","5.3","11.4","2018-01-16 15:06:00"
"2018-01-17 00:00:00","CARTAGENA","MURCIA","17","13.6","0","8.3","2018-01-17 07:50:00","18.9","2018-01-17 11:40:00","14","1.1","5","2018-01-17 14:20:00"
"2018-01-17 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","14.9","0","7.3","2018-01-17 03:34:00","22.5","2018-01-17 14:53:00","32","4.7","13.3","2018-01-17 09:11:00"
"2018-01-18 00:00:00","CARTAGENA","MURCIA","17","12.9","0","9.7","2018-01-18 00:00:00","16.1","2018-01-18 13:20:00","6","1.4","7.5","2018-01-18 12:40:00"
"2018-01-18 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","12.5","0","8.3","2018-01-18 07:22:00","16.7","2018-01-18 12:53:00","1","4.4","9.7","2018-01-18 10:09:00"
"2018-01-19 00:00:00","CARTAGENA","MURCIA","17","12.6","0","9.3","2018-01-19 23:59:00","15.9","2018-01-19 16:00:00","23","1.1","5.3","2018-01-19 19:10:00"
